model,dataset,seed,uniformity,elapsed_time_uniformity,euler_characteristic,elapsed_time_euler_characteristic,effective_rank,elapsed_time_effective_rank,avg_pair_sim_euclidean,elapsed_time_avg_pair_sim_euclidean,avg_pair_sim_cosine,elapsed_time_avg_pair_sim_cosine,mag_area,elapsed_time_mag_area,mag_dim,elapsed_time_mag_dim,ph_dim_euclidean,elapsed_time_ph_dim_euclidean,ph_dim_cosine,elapsed_time_ph_dim_cosine,ph_entr_euclidean,elapsed_time_ph_entr_euclidean,ph_entr_cosine,elapsed_time_ph_entr_cosine,spread_euclidean,elapsed_time_spread_euclidean,spread_cosine,elapsed_time_spread_cosine,iso_score,elapsed_time_iso_score,pca_dim,elapsed_time_pca_dim,twonn_dim,elapsed_time_twonn_dim,silhouette,elapsed_time_silhouette,vendi_score_euclidean,elapsed_time_vendi_score_euclidean,vendi_score_cosine,elapsed_time_vendi_score_cosine,lifetime_mean_euclidean,elapsed_time_lifetime_mean_euclidean,lifetime_mean_cosine,elapsed_time_lifetime_mean_cosine,midlife_mean_euclidean,elapsed_time_midlife_mean_euclidean,midlife_mean_cosine,elapsed_time_midlife_mean_cosine,corpus_size,sample_size,gini_at_100,gini_at_100_dense,ndcg_at_5,ndcg_at_20,ndcg_at_100,recall_at_5,recall_at_20,recall_at_100,map_at_5,map_at_20,map_at_100,main_score,model_size,embedding_dimension,context_size,model_name_short,model_family,training_loss,instruction_tuned,vocabulary_size,moe,hard_neg,architecture,multilingual,layers,activation,log_mag_area,mag_area_normalized,log_twonn_dim,twonn_dim_normalized,log_ph_dim_euclidean,ph_dim_euclidean_normalized,log_main_score,main_score_normalized,log_recall_at_20,recall_at_20_normalized,log_iso_score,iso_score_normalized,log_mag_dim,mag_dim_normalized,log_recall_at_100,recall_at_100_normalized,log_recall_at_5,recall_at_5_normalized,size
BAAI/bge-small-en-v1.5,DupstackEnglish,2025.0,-0.4161578843399644,35.87585020065308,-0.448642210576465,51.34309220314026,0.11311376193006142,1.356217384338379,0.5247153639793396,28.74847674369812,0.5921706573722664,11.908454656600952,0.8004927451467936,83.67999243736267,0.8542101115630577,74.47002220153809,30.542130281136828,19.07088828086853,0.7064880818373112,18.253220319747925,14.279963658196865,139.76362800598145,0.9986503039316557,136.8428614139557,2.4764504432678223,1.7893638610839844,0.5621522694386472,1.1980032920837402,0.6501293132124732,0.1521346569061279,0.3580645161290323,0.1347022056579589,0.7573099557643101,48.50512671470642,0.35077327792311275,67.48615384101868,1.090600609779358,682.4388217926025,0.9970243200045673,676.4536964893341,0.678901331022659,7.142050743103027,0.3850347871713118,6.90063738822937,0.3394506655113295,7.053644180297852,0.3850347871713116,6.930830478668213,40220,50000,0.5156560503197268,0.4311662324073656,0.43617,0.47174,0.49895,0.48878,0.607,0.73375,0.38833,0.40632,0.41194,0.45591,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.236750656057388,0.42486805609267786,3.333657026938831,-0.3916000381590693,3.4191070511605806,-0.6095186643975716,-0.7854598573685136,-0.5857438525926483,-0.4992264879226388,-0.6563034668021942,-1.2177680073177204,1.6549505936557534,1.5816769911363855,-0.5980038459058088,-0.3095869078398308,-0.5702060198905317,-0.7158427884921338,-0.5474105625404964,small
BAAI/bge-small-en-v1.5,FiQA2018,123.0,-0.399516983539879,20.496968269348145,-0.1171033825631253,37.25510001182556,0.10619210310177327,1.6577692031860352,0.5287006497383118,41.32901310920715,0.6009291588936048,15.667535305023192,0.8496170203491918,74.24646162986755,0.7676674957457037,68.07986807823181,24.964205503406145,19.24432492256165,0.5808612889626931,18.795036792755127,14.274675698426456,140.7764446735382,0.9970431087382544,139.5431809425354,2.441400051116944,1.6605229377746582,0.5562355639567139,1.113706111907959,0.37251035396250565,0.1835560798645019,0.18387096774193548,0.1434903144836425,0.6740780395453018,66.01821565628052,0.592754144577652,57.32937669754028,1.1021846532821655,505.3946266174317,0.9978589921381426,507.4330379962921,0.6093010461659497,7.206267833709717,0.3126225877372397,7.068397283554077,0.3046505230829748,7.127353191375732,0.3126225877372397,7.019248008728027,57598,100000,0.6243511810087639,0.3636746828037478,0.37738,0.42926,0.46577,0.38056,0.54292,0.69629,0.3101,0.33894,0.34593,0.40347,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.296308870218582,1.8141888754221809,3.217230294396475,0.41730590807749185,3.2174430190282255,0.21215349466143807,-0.9076531434785695,-0.4663532407904702,-0.6107932995523727,-0.5497915390525281,-1.774674460518779,0.8753959588978778,1.4748564864842872,-1.6492561026947083,-0.36198903876250127,-0.7258642105132614,-0.966111426858111,-0.5981925315482484,small
BAAI/bge-small-en-v1.5,FiQA2018,1234.0,-0.4015164212759643,17.12432050704956,-0.11443544545021439,31.073898315429688,0.10619210310177327,1.5757057666778564,0.5285866260528564,38.33813118934631,0.6005685462521256,14.349979162216188,0.8499519858045147,54.90308117866516,0.768640457381765,51.36143398284912,24.056735096852144,15.391233921051024,0.5510255918858977,15.02009415626526,14.274370806007232,117.1891655921936,0.9970510373496548,114.66592621803284,2.4471826553344727,1.488067388534546,0.5574140734611203,0.9788365364074708,0.37251035396250565,0.1641149520874023,0.1870967741935484,0.1223816871643066,0.6770512510402332,57.67927074432373,0.38747997731905737,52.08240365982056,1.09995698928833,610.7114722728729,0.9976369794158483,608.735316991806,0.6095998600247526,5.955707311630249,0.31308539693016246,5.851980209350586,0.3047999300123763,6.0280938148498535,0.3130853969301623,5.7598278522491455,57598,100000,0.6243511810087639,0.3636746828037478,0.37738,0.42926,0.46577,0.38056,0.54292,0.69629,0.3101,0.33894,0.34593,0.40347,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.29670304716397,1.8268242753470858,3.221631377719574,0.4598899564165418,3.180415002953476,-0.15920194646279004,-0.9076531434785695,-0.4663532407904702,-0.6107932995523727,-0.5497915390525281,-1.774674460518779,0.8753959588978778,1.4761231098382317,-1.634120082512432,-0.36198903876250127,-0.7258642105132614,-0.966111426858111,-0.5981925315482484,small
BAAI/bge-small-en-v1.5,FiQA2018,2025.0,-0.400518436288204,21.317842960357662,-0.11457837065269176,35.08998799324036,0.10619210310177327,1.9234116077423096,0.5286256074905396,48.17889904975891,0.6007805402189423,17.39222478866577,0.8516408348728356,72.6122796535492,0.7661810794366406,70.00146484375,26.013425819372323,18.429134368896484,0.6033527149835458,17.941499948501587,14.274340376465055,137.69517588615415,0.9970504033458776,134.99614310264587,2.447216510772705,1.9131441116333008,0.5574515293806005,1.1342127323150637,0.37251035396250565,0.2244999408721923,0.1870967741935484,0.1637899875640869,0.6803173798741311,77.02232217788696,0.3609734758580057,65.969722032547,1.1009925603866575,705.0926651954651,0.997737301775681,702.264289855957,0.6104427878052789,7.0057032108306885,0.3138458522727137,6.793170213699341,0.3052213939026394,6.881348371505737,0.3138458522727136,6.745861053466797,57598,100000,0.6243511810087639,0.3636746828037478,0.37738,0.42926,0.46577,0.38056,0.54292,0.69629,0.3101,0.33894,0.34593,0.40347,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.298688069200202,1.8905301980084777,3.2264438289035073,0.5066693356774433,3.258612782412579,0.6415158964081841,-0.9076531434785695,-0.4663532407904702,-0.6107932995523727,-0.5497915390525281,-1.774674460518779,0.8753959588978778,1.4729183332683626,-1.6723797556933235,-0.36198903876250127,-0.7258642105132614,-0.966111426858111,-0.5981925315482484,small
BAAI/bge-small-en-v1.5,MSMARCO,123.0,-0.5761132986731679,12.512639284133911,-0.5273939971414959,51.44654941558838,0.11942555951065133,2.3060429096221924,0.4838252961635589,29.92079782485962,0.4319296649923019,12.03585124015808,0.7794709404717303,51.51330804824829,0.925835279745367,48.29628491401672,28.387459151049708,14.941856145858765,0.6569449559304451,14.398098707199097,14.278579358017025,111.21399140357973,0.9984073882286658,109.74068331718443,2.9083402156829834,1.2465617656707764,0.6586839310825267,0.8038172721862793,0.6912802898585647,1.2190515995025637,0.4612903225806452,0.1020925045013427,0.6499202341669537,49.03837704658508,0.2994196355096055,42.14662384986877,0.9310693740844728,396.058944940567,0.9519816429881972,394.821920633316,0.7883951401717664,5.82185697555542,0.518942535664254,5.521402835845947,0.3941975700858832,5.708424806594849,0.5189425356642539,5.484405994415283,8841660,500000,0.8502328370757626,0.0645567426002892,0.36899,0.43275,0.46339,0.49979,0.71479,0.87597,0.32319,0.34655,0.35096,0.40824,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.210138594664087,0.3188442546837292,3.1807340432044415,0.13122697646216797,3.3459474684539687,0.04191938401556882,-0.8959000422264211,0.3457187911268629,-0.3357664857219763,0.13756277601009392,-1.1563939229845062,1.0409956206508932,1.6621961305122448,-0.28993480861542936,-0.1324234352075154,0.004612892061611584,-0.693567268784649,0.279700654177734,small
BAAI/bge-small-en-v1.5,MSMARCO,1234.0,-0.5764700521459932,21.038058042526245,-0.5377798951881848,61.173720598220825,0.11945621450829859,3.7186012268066406,0.4837864935398102,51.436553955078125,0.43171812284553374,17.81808590888977,0.7790488756901587,55.04655647277832,0.9266161647962735,51.63096117973328,26.14507794913122,16.557973384857178,0.6040529821545892,15.958799362182615,14.278336142367277,140.05110216140747,0.9983618538947394,137.40568161010742,2.9069766998291016,1.96457839012146,0.6583489998072681,1.3132178783416748,0.6906761559218221,1.9493885040283203,0.45483870967741935,0.1277387142181396,0.6473190684923054,64.94220209121704,0.29370293000669795,59.24844288825989,0.9307613372802734,806.4739747047424,0.9518532699685428,805.7559406757355,0.7874473646107281,6.425154447555542,0.5176459761317552,6.1960296630859375,0.393723682305364,6.304445743560791,0.5176459761317552,6.362585783004761,8841660,500000,0.8502328370757626,0.0645567426002892,0.36899,0.43275,0.46339,0.49979,0.71479,0.87597,0.32319,0.34655,0.35096,0.40824,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.20959697204561,0.2944114738848499,3.17672372813698,0.06252747085280866,3.263660949052028,-1.047751361784792,-0.8959000422264211,0.3457187911268629,-0.3357664857219763,0.13756277601009392,-1.157268239938665,1.0385024073084177,1.663039213443742,-0.2751552865591726,-0.1324234352075154,0.004612892061611584,-0.693567268784649,0.279700654177734,small
BAAI/bge-small-en-v1.5,MSMARCO,2025.0,-0.5758339310150482,21.37752795219421,-0.5283944735588375,60.227261543273926,0.11944584590615319,3.5353989601135254,0.4838353395462036,48.02208137512207,0.4319317734858621,15.865739583969116,0.7791782336390302,54.59615683555603,0.9267299941744229,51.84498047828674,26.12538658197756,16.69569993019104,0.6052440168856218,16.01204824447632,14.278290681283096,123.4376769065857,0.9983657268561449,121.01803040504456,2.905282497406006,1.7767815589904783,0.6579465592238815,1.1643757820129397,0.6909757345865304,1.5154848098754885,0.45483870967741935,0.1384322643280029,0.6572653613527369,65.6600170135498,0.3009741453861386,59.43804740905762,0.9313385486602784,698.1279728412628,0.9521100985097922,695.4283127784729,0.7864859248428588,6.416637659072876,0.5165359453695236,6.184091806411743,0.3932429624214294,6.264836549758911,0.5165359453695235,6.207347869873047,8841660,500000,0.8502328370757626,0.0645567426002892,0.36899,0.43275,0.46339,0.49979,0.71479,0.87597,0.32319,0.34655,0.35096,0.40824,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.209763004260546,0.30189983715837887,3.191972240009034,0.3252194665289117,3.262907507571765,-1.0573202552065715,-0.8959000422264211,0.3457187911268629,-0.3357664857219763,0.13756277601009392,-1.156834587046122,1.0397387449457285,1.663162050052264,-0.2730008800904404,-0.1324234352075154,0.004612892061611584,-0.693567268784649,0.279700654177734,small
BAAI/bge-small-en-v1.5,NFCorpus,123.0,-0.3231583864351914,0.3826770782470703,-0.010719390185802763,15.763556718826294,0.10112325653259897,0.0673842430114746,0.5561854839324951,0.1444368362426757,0.6820030857502041,0.0631489753723144,0.6439712360643138,24.989277601242065,0.7465371124468752,23.61655569076538,13.339764040513744,7.121238708496094,0.32140891803929617,6.9114251136779785,11.783042938434445,2.7734177112579346,0.8201155533956983,2.7313473224639893,2.227538108825684,0.1424648761749267,0.514416317979391,0.0897037982940673,0.44752278893265385,0.0218825340270996,0.2870967741935484,0.0737051963806152,0.3757491424254637,0.1890525817871093,0.4459564471047501,1.747594118118286,1.1908270120620728,1.8949780464172363,0.9978634472429376,1.848709344863892,0.4982214857196781,2.7934494018554688,0.21332233342827375,2.734851837158203,0.249110742859839,2.7753617763519287,0.21332233342827375,2.711040735244751,3592,4000,0.3627179645816343,0.3500152712759207,0.37479,0.31849,0.30819,0.12753,0.20038,0.31113,0.10417,0.13701,0.15553,0.34301,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.019177247174339,1.9308253369224542,2.632806150840941,0.03079556379936395,2.5907493522136305,0.14074191129478705,-1.0699956777222315,-0.31950688291788254,-1.60753971515102,-0.5288396724890356,-1.591211832417146,1.951829973463757,1.4469451263441113,-1.5046723130930122,-1.1675444477123844,-0.6442605581587413,-2.0594036479433284,-0.48939813234769974,small
BAAI/bge-small-en-v1.5,NFCorpus,1234.0,-0.3231583864351914,0.409055233001709,-0.010719390185802763,17.82238507270813,0.10112325653259897,0.0694301128387451,0.5561854839324951,0.1769006252288818,0.6820030857502041,0.0691597461700439,0.6439712360643138,25.65071177482605,0.7465371124468752,23.08978581428528,13.339764040513744,7.530500650405884,0.32140891803929617,7.325751781463623,11.783042938434445,2.9950437545776367,0.8201155533956983,2.8978281021118164,2.227538108825684,0.1803350448608398,0.514416317979391,0.1228597164154052,0.44752278893265385,0.0236365795135498,0.2870967741935484,0.0744509696960449,0.3757491424254637,0.219970703125,0.4459564471047501,2.21264123916626,1.1908270120620728,2.7657933235168457,0.9978634472429376,2.253627300262451,0.4982214857196781,3.016881465911865,0.21332233342827375,2.907079696655273,0.249110742859839,2.952697992324829,0.21332233342827375,2.881010770797729,3592,4000,0.3627179645816343,0.3500152712759207,0.37479,0.31849,0.30819,0.12753,0.20038,0.31113,0.10417,0.13701,0.15553,0.34301,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.019177247174339,1.9308253369224542,2.632806150840941,0.03079556379936395,2.5907493522136305,0.14074191129478705,-1.0699956777222315,-0.31950688291788254,-1.60753971515102,-0.5288396724890356,-1.591211832417146,1.951829973463757,1.4469451263441113,-1.5046723130930122,-1.1675444477123844,-0.6442605581587413,-2.0594036479433284,-0.48939813234769974,small
BAAI/bge-small-en-v1.5,NFCorpus,2025.0,-0.3231583864351914,0.3955087661743164,-0.010719390185802763,18.75546145439148,0.10112325653259897,0.0722894668579101,0.5561854839324951,0.1925694942474365,0.6820030857502041,0.0742688179016113,0.6439712360643138,27.316472053527832,0.7465371124468752,24.55372905731201,13.339764040513744,8.001127004623413,0.32140891803929617,7.742907524108887,11.783042938434445,3.085878133773804,0.8201155533956983,3.028594493865967,2.227538108825684,0.1931405067443847,0.514416317979391,0.1308848857879638,0.44752278893265385,0.0244784355163574,0.2870967741935484,0.0754599571228027,0.3757491424254637,0.2373569011688232,0.4459564471047501,2.0941383838653564,1.1908270120620728,2.4981727600097656,0.9978634472429376,2.942935943603516,0.4982214857196781,3.117114543914795,0.21332233342827375,3.019005060195923,0.249110742859839,3.1056132316589355,0.21332233342827375,3.032191514968872,3592,4000,0.3627179645816343,0.3500152712759207,0.37479,0.31849,0.30819,0.12753,0.20038,0.31113,0.10417,0.13701,0.15553,0.34301,0.024,384,512,bge-small-en-v1.5,BGE,Contrastive,True,0,False,True,Encoder,False,12,gelu,7.019177247174339,1.9308253369224542,2.632806150840941,0.03079556379936395,2.5907493522136305,0.14074191129478705,-1.0699956777222315,-0.31950688291788254,-1.60753971515102,-0.5288396724890356,-1.591211832417146,1.951829973463757,1.4469451263441113,-1.5046723130930122,-1.1675444477123844,-0.6442605581587413,-2.0594036479433284,-0.48939813234769974,small
